topic,title,dialogue_line
smalltalk,Weather (1),"I know what you mean, I can't wait until it's winter."
smalltalk,Weather (1),Winter is great. I wish it didn't get so cold sometimes though.
smalltalk,Weather (1),I would rather deal with the winter than the summer.
smalltalk,Weather (1),I feel the same way.
smalltalk,Weather (2),It's such a nice day.
smalltalk,Weather (2),"Yes, it is."
smalltalk,Weather (2),It looks like it may rain soon.
smalltalk,Weather (2),"Yes, and I hope that it does."
smalltalk,Weather (2),Why is that?
smalltalk,Weather (2),I really love how rain clears the air.
smalltalk,Weather (2),Me too. It always smells so fresh after it rains.
smalltalk,Weather (2),"Yes, but I love the night air after it rains."
smalltalk,Weather (2),Really? Why is it?
smalltalk,Weather (2),Because you can see the stars perfectly.
smalltalk,Weather (2),I really hope it rains today.
smalltalk,Weather (2),"Yeah, me too."
smalltalk,Weather (2),Isn't it a nice day?
smalltalk,Weather (2),It really is.
smalltalk,Weather (2),It seems that it may rain today.
smalltalk,Weather (2),Hopefully it will.
smalltalk,Weather (2),How come?
smalltalk,Weather (2),I like how clear the sky gets after it rains.
smalltalk,Weather (2),I feel the same way. It smells so good after it rains.
smalltalk,Weather (2),I especially love the night air when it rains.
smalltalk,Weather (2),Really? Why?
smalltalk,Weather (2),The stars look so much closer after it rains.
smalltalk,Weather (2),I really want it to rain today.
smalltalk,Weather (2),"Yeah, so do I."
smalltalk,Weather (2),Don't you think it's nice out?
smalltalk,Weather (2),"Yes, I think so too."
smalltalk,Weather (2),I think that it's going to rain.
smalltalk,Weather (2),I hope that it does rain.
smalltalk,Weather (2),You like the rain?
smalltalk,Weather (2),The sky looks so clean after it rains. I love it.
smalltalk,Weather (2),I understand. Rain does make it smell cleaner.
smalltalk,Weather (2),I love most how it is at night after it rains.
smalltalk,Weather (2),How come?
smalltalk,Weather (2),You can see the stars so much more clearly after it rains.
smalltalk,Weather (2),I would love for it to rain today.
smalltalk,Weather (2),I would too.
smalltalk,4. Weather (3),I really want to go to the beach this weekend.
smalltalk,4. Weather (3),That sounds like fun. What's the weather going to be like?
smalltalk,4. Weather (3),I heard that it's going to be warm this weekend.
smalltalk,4. Weather (3),Is it going to be perfect beach weather?
smalltalk,4. Weather (3),I believe so.
smalltalk,4. Weather (3),Good. I hope it doesn't cool off this weekend.
smalltalk,4. Weather (3),I know. I really want to go to the beach.
smalltalk,4. Weather (3),But you know that California weather is really unpredictable.
smalltalk,4. Weather (3),"You're right. One minute it's hot, and then the next minute it's cold."
smalltalk,4. Weather (3),I really wish the weather would just stay the same.
smalltalk,4. Weather (3),I do too. That way we can have our activities planned ahead of time.
smalltalk,4. Weather (3),"Yeah, that would make things a lot easier."
smalltalk,4. Weather (3),I would like to take a trip to the beach this weekend.
smalltalk,4. Weather (3),A trip to the beach would be fun. How is the weather going to be?
smalltalk,4. Weather (3),The forecast says that it will be warm on the weekend.
smalltalk,4. Weather (3),So do you think it'll be perfect weather for the beach?
smalltalk,4. Weather (3),It sounds like it will be.
smalltalk,4. Weather (3),I really hope it doesn't get cold.
smalltalk,4. Weather (3),"That would ruin things, I want to go so badly."
smalltalk,4. Weather (3),"The weather in California is unpredictable, so you never know."
smalltalk,4. Weather (3),That is true. The weather is constantly changing.
smalltalk,4. Weather (3),It would be nice if the weather would never change.
smalltalk,4. Weather (3),"That would be great, then we could plan things sooner."
smalltalk,4. Weather (3),True. Predictable weather would make life easier.
smalltalk,4. Weather (3),It would be nice to go to the beach sometime this weekend.
smalltalk,4. Weather (3),What's the weather going to be like? I may want to go too.
smalltalk,4. Weather (3),The weather this weekend is supposed to be warm.
smalltalk,4. Weather (3),Will it be good beach weather?
smalltalk,4. Weather (3),I think it will be.
smalltalk,4. Weather (3),It wouldn't be good if it got cold this weekend.
smalltalk,4. Weather (3),"I want this trip to be perfect, I hope it stays warm."
smalltalk,4. Weather (3),"This California weather is so uncertain, it's impossible to know what'll happen."
smalltalk,4. Weather (3),I know. Every day the weather seems different.
smalltalk,4. Weather (3),I would love it if it wasn't always so unpredictable.
smalltalk,4. Weather (3),That would make it easier for us to make plans.
smalltalk,4. Weather (3),I know. Things are easier when you know what the weather's going to be like.
smalltalk,5. Calling a Friend,"Hello, may I speak to Alice please?"
smalltalk,5. Calling a Friend,This is she. How's it going?
smalltalk,5. Calling a Friend,I've been trying to call you all day.
smalltalk,5. Calling a Friend,Sorry about that. I was cleaning up.
smalltalk,5. Calling a Friend,It's okay.
smalltalk,5. Calling a Friend,So what were you calling me about?
smalltalk,5. Calling a Friend,"Oh, I just wanted to see if you wanted to hang out tomorrow."
smalltalk,5. Calling a Friend,"Sure, what did you want to do?"
smalltalk,5. Calling a Friend,Maybe we can go see a movie or something.
smalltalk,5. Calling a Friend,That sounds like fun. Let's do it.
smalltalk,5. Calling a Friend,I'll see you tomorrow then.
smalltalk,5. Calling a Friend,See you then. Goodbye.
smalltalk,5. Calling a Friend,"Hi, how are you. Is Alice there?"
smalltalk,5. Calling a Friend,Speaking. What's up?
smalltalk,5. Calling a Friend,Why haven't you answered the phone?
smalltalk,5. Calling a Friend,"My bad, I had chores to do."
smalltalk,5. Calling a Friend,That's all right.
smalltalk,5. Calling a Friend,What was the reason for your call?
smalltalk,5. Calling a Friend,I want to do something tomorrow with you.
smalltalk,5. Calling a Friend,Sounds good. What did you have in mind?
smalltalk,5. Calling a Friend,I was thinking about seeing a movie.
smalltalk,5. Calling a Friend,"Okay, let's go see a movie."
smalltalk,5. Calling a Friend,Until then.
smalltalk,5. Calling a Friend,Talk to you later.
smalltalk,5. Calling a Friend,Is Alice available?
smalltalk,5. Calling a Friend,You're talking to her.
smalltalk,5. Calling a Friend,I've called you a hundred times today.
smalltalk,5. Calling a Friend,I was busy doing something. I apologize.
smalltalk,5. Calling a Friend,No problem.
smalltalk,5. Calling a Friend,Did you need something?
smalltalk,5. Calling a Friend,Do you want to do something tomorrow?
smalltalk,5. Calling a Friend,Is there somewhere special you wanted to go?
smalltalk,5. Calling a Friend,How about a movie?
smalltalk,5. Calling a Friend,A movie sounds good.
smalltalk,5. Calling a Friend,Call me tomorrow then.
smalltalk,5. Calling a Friend,I will see you tomorrow.
smalltalk,6. Describing People,Have you seen the new girl in school?
smalltalk,6. Describing People,"No, I haven't."
smalltalk,6. Describing People,She's really pretty.
smalltalk,6. Describing People,Describe her to me.
smalltalk,6. Describing People,She's not too tall.
smalltalk,6. Describing People,"Well, how tall is she?"
smalltalk,6. Describing People,She's about five feet even.
smalltalk,6. Describing People,"What does she look like, though?"
smalltalk,6. Describing People,She has pretty light brown eyes.
smalltalk,6. Describing People,I may know which girl you're talking about.
smalltalk,6. Describing People,So you have seen her around?
smalltalk,6. Describing People,"Yes, I have."
smalltalk,6. Describing People,"There's a new girl in school, have you seen her yet?"
smalltalk,6. Describing People,I haven't seen her yet.
smalltalk,6. Describing People,I think that she is very pretty.
smalltalk,6. Describing People,Tell me how she looks.
smalltalk,6. Describing People,She's kind of short.
smalltalk,6. Describing People,What height is she?
smalltalk,6. Describing People,She's probably about five feet.
smalltalk,6. Describing People,"That's nice, but tell me what she looks like."
smalltalk,6. Describing People,The first thing I noticed was her beautiful brown eyes.
smalltalk,6. Describing People,I think I might've bumped into her before.
smalltalk,6. Describing People,Are you telling me that you've seen her before?
smalltalk,6. Describing People,I believe so.
smalltalk,6. Describing People,Have you met the new girl?
smalltalk,6. Describing People,No. Have you?
smalltalk,6. Describing People,She's one of the prettiest girls at the school.
smalltalk,6. Describing People,What does she look like?
smalltalk,6. Describing People,"Well, she's quite short."
smalltalk,6. Describing People,How tall would you say that she is?
smalltalk,6. Describing People,I would say she's only five feet.
smalltalk,6. Describing People,What about her facial features?
smalltalk,6. Describing People,"She has light brown eyes, absolutely beautiful."
smalltalk,6. Describing People,I think I know who you're talking about.
smalltalk,6. Describing People,Have you seen her?
smalltalk,6. Describing People,I think that I have.
smalltalk,7. Expressing Concern for Someone,Why weren't you at school yesterday?
smalltalk,7. Expressing Concern for Someone,I wasn't really feeling well.
smalltalk,7. Expressing Concern for Someone,What was wrong with you?
smalltalk,7. Expressing Concern for Someone,My stomach was upset.
smalltalk,7. Expressing Concern for Someone,Do you feel better now?
smalltalk,7. Expressing Concern for Someone,I don't really feel too well yet.
smalltalk,7. Expressing Concern for Someone,Do you want anything to make you feel better?
smalltalk,7. Expressing Concern for Someone,"No, thanks. I already took some medicine."
smalltalk,7. Expressing Concern for Someone,I hope you feel better.
smalltalk,7. Expressing Concern for Someone,Thank you.
smalltalk,7. Expressing Concern for Someone,What reason do you have for missing school?
smalltalk,7. Expressing Concern for Someone,I was sick.
smalltalk,7. Expressing Concern for Someone,How were you sick?
smalltalk,7. Expressing Concern for Someone,I had a stomachache.
smalltalk,7. Expressing Concern for Someone,Did it get any better?
smalltalk,7. Expressing Concern for Someone,I'm still feeling under the weather.
smalltalk,7. Expressing Concern for Someone,Would you like anything for your stomach?
smalltalk,7. Expressing Concern for Someone,I took something earlier.
smalltalk,7. Expressing Concern for Someone,Get better.
smalltalk,7. Expressing Concern for Someone,Thanks a lot.
smalltalk,7. Expressing Concern for Someone,Why didn't you go to school yesterday?
smalltalk,7. Expressing Concern for Someone,I stayed home because I wasn't feeling well.
smalltalk,7. Expressing Concern for Someone,What was your problem?
smalltalk,7. Expressing Concern for Someone,My stomach was bothering me.
smalltalk,7. Expressing Concern for Someone,Are you feeling any better?
smalltalk,7. Expressing Concern for Someone,I'm still feeling a little sick.
smalltalk,7. Expressing Concern for Someone,"I'm going to the store, would you like any Pepto Bismol?"
smalltalk,7. Expressing Concern for Someone,That's okay.
smalltalk,7. Expressing Concern for Someone,I hope you feel better.
smalltalk,7. Expressing Concern for Someone,I'd appreciate that.
smalltalk,8. Expressing Joy at Someone's Success,Did you hear the good news?
smalltalk,8. Expressing Joy at Someone's Success,"No, I haven't."
smalltalk,8. Expressing Joy at Someone's Success,I got a promotion at my job.
smalltalk,8. Expressing Joy at Someone's Success,Did you really?
smalltalk,8. Expressing Joy at Someone's Success,"Seriously, I am so excited."
smalltalk,8. Expressing Joy at Someone's Success,"Well, congratulations."
smalltalk,8. Expressing Joy at Someone's Success,Thank you.
smalltalk,8. Expressing Joy at Someone's Success,I'm so happy for you.
smalltalk,8. Expressing Joy at Someone's Success,Really?
smalltalk,8. Expressing Joy at Someone's Success,Yes. You really deserved this.
smalltalk,8. Expressing Joy at Someone's Success,You think so?
smalltalk,8. Expressing Joy at Someone's Success,Yes. Good for you.
smalltalk,8. Expressing Joy at Someone's Success,Have you heard my good news?
smalltalk,8. Expressing Joy at Someone's Success,You haven't told me anything yet.
smalltalk,8. Expressing Joy at Someone's Success,I got a promotion at work earlier this week.
smalltalk,8. Expressing Joy at Someone's Success,Is that right?
smalltalk,8. Expressing Joy at Someone's Success,It's the truth. I am really happy.
smalltalk,8. Expressing Joy at Someone's Success,Congratulations on your promotion.
smalltalk,8. Expressing Joy at Someone's Success,Thank you very much.
smalltalk,8. Expressing Joy at Someone's Success,I am really excited for you.
smalltalk,8. Expressing Joy at Someone's Success,Are you really?
smalltalk,8. Expressing Joy at Someone's Success,I'm serious. You deserved this promotion.
smalltalk,8. Expressing Joy at Someone's Success,Is that what you really think?
smalltalk,8. Expressing Joy at Someone's Success,"Yes, I do."
smalltalk,8. Expressing Joy at Someone's Success,"I haven't told you what happened yet, have I?"
smalltalk,8. Expressing Joy at Someone's Success,I haven't heard anything.
smalltalk,8. Expressing Joy at Someone's Success,"My boss offered me a promotion, and I took it."
smalltalk,8. Expressing Joy at Someone's Success,Are you serious?
smalltalk,8. Expressing Joy at Someone's Success,"Yes, I am really excited."
smalltalk,8. Expressing Joy at Someone's Success,That's great. Congratulations.
smalltalk,8. Expressing Joy at Someone's Success,I appreciate that.
smalltalk,8. Expressing Joy at Someone's Success,You have no idea how happy I am for you.
smalltalk,8. Expressing Joy at Someone's Success,For real?
smalltalk,8. Expressing Joy at Someone's Success,I believe you were the best choice for that promotion. I really do.
smalltalk,9. Complimenting Someone's Clothes,You look really nice today.
smalltalk,9. Complimenting Someone's Clothes,Thank you. I just got this outfit the other day.
smalltalk,9. Complimenting Someone's Clothes,"Really, where did you get it?"
smalltalk,9. Complimenting Someone's Clothes,I got it from Macy's.
smalltalk,9. Complimenting Someone's Clothes,It's really nice.
smalltalk,9. Complimenting Someone's Clothes,"Thanks again. You look nice today, too."
smalltalk,9. Complimenting Someone's Clothes,Thank you. I just got these shoes today.
smalltalk,9. Complimenting Someone's Clothes,Really? What kind of shoes are they?
smalltalk,9. Complimenting Someone's Clothes,These are called All Star Chuck Taylors.
smalltalk,9. Complimenting Someone's Clothes,I really like those. How much did they cost?
smalltalk,9. Complimenting Someone's Clothes,They were about forty dollars.
smalltalk,9. Complimenting Someone's Clothes,I think I'm going to go buy myself a pair.
smalltalk,9. Complimenting Someone's Clothes,I absolutely love what you're wearing today.
smalltalk,9. Complimenting Someone's Clothes,You do? I just bought this outfit a couple days ago.
smalltalk,9. Complimenting Someone's Clothes,"Seriously, it looks really nice on you. Where did you buy it from?"
smalltalk,9. Complimenting Someone's Clothes,I bought it from the Macy's at the Santa Anita mall.
smalltalk,9. Complimenting Someone's Clothes,I really like that outfit.
smalltalk,9. Complimenting Someone's Clothes,"Thanks. I think you look nice today, too."
smalltalk,9. Complimenting Someone's Clothes,Thank you. I just bought these new shoes earlier today.
smalltalk,9. Complimenting Someone's Clothes,Those are nice. What are they?
smalltalk,9. Complimenting Someone's Clothes,These are some Chucks.
smalltalk,9. Complimenting Someone's Clothes,Those are great. How much were they?
smalltalk,9. Complimenting Someone's Clothes,I got them for forty.
smalltalk,9. Complimenting Someone's Clothes,I think I might go and find me my own pair of Chucks.
smalltalk,9. Complimenting Someone's Clothes,I think that you look very cute today.
smalltalk,9. Complimenting Someone's Clothes,Is that right? This is a brand new outfit.
smalltalk,9. Complimenting Someone's Clothes,What store did you get it from?
smalltalk,9. Complimenting Someone's Clothes,I went to Macy's and picked it out.
smalltalk,9. Complimenting Someone's Clothes,I love your outfit right now.
smalltalk,9. Complimenting Someone's Clothes,"Well, I think you look nice today too."
smalltalk,9. Complimenting Someone's Clothes,Thanks. I found these new shoes earlier at the store.
smalltalk,9. Complimenting Someone's Clothes,I think that those are some really nice shoes. What kind are they?
smalltalk,9. Complimenting Someone's Clothes,These are Chucks.
smalltalk,9. Complimenting Someone's Clothes,Your shoes look really nice. How much did you get them for?
smalltalk,9. Complimenting Someone's Clothes,They only cost me about forty dollars.
smalltalk,9. Complimenting Someone's Clothes,I'm going to go get a pair for myself.
smalltalk,. Leisure Activities,"Tell me, what do you enjoy doing in your spare time?"
smalltalk,. Leisure Activities,I enjoy drawing and painting.
smalltalk,. Leisure Activities,You know how to draw and paint?
smalltalk,. Leisure Activities,"Yes, I do."
smalltalk,. Leisure Activities,When did you learn how to do that?
smalltalk,. Leisure Activities,I learned back in high school.
smalltalk,. Leisure Activities,"Oh, so you took an art class?"
smalltalk,. Leisure Activities,"Yeah, I loved that class."
smalltalk,. Leisure Activities,I see that you're pretty talented.
smalltalk,. Leisure Activities,Thank you very much.
smalltalk,. Leisure Activities,I wish I had a talent like that.
smalltalk,. Leisure Activities,I'm sure you have a talent. It's just hidden.
smalltalk,. Leisure Activities,What kinds of things do you like to do?
smalltalk,. Leisure Activities,I've always liked to draw and paint.
smalltalk,. Leisure Activities,I didn't know you knew how to draw and paint.
smalltalk,. Leisure Activities,I do it every once in a while.
smalltalk,. Leisure Activities,How long have you known how to do that?
smalltalk,. Leisure Activities,I first learned how to do it in high school.
smalltalk,. Leisure Activities,Did you take some sort of art class or something?
smalltalk,. Leisure Activities,That was my favorite class.
smalltalk,. Leisure Activities,You have got to be talented.
smalltalk,. Leisure Activities,Thanks.
smalltalk,. Leisure Activities,If only I was talented.
smalltalk,. Leisure Activities,You have a talent. You just don't know what it is yet.
smalltalk,. Leisure Activities,Are there any hobbies you do?
smalltalk,. Leisure Activities,"When I have time, I sometimes draw and paint."
smalltalk,. Leisure Activities,"Oh, you actually do that?"
smalltalk,. Leisure Activities,"Every so often, I do."
smalltalk,. Leisure Activities,Did you always know how to draw and paint?
smalltalk,. Leisure Activities,I was taught in high school how to draw and paint.
smalltalk,. Leisure Activities,You had an art class?
smalltalk,. Leisure Activities,"Exactly, it was my favorite class."
smalltalk,. Leisure Activities,"Well, it's good that you're so talented."
smalltalk,. Leisure Activities,I appreciate that.
smalltalk,. Leisure Activities,"Talent is a great thing, I wish I had one."
smalltalk,. Leisure Activities,Everyone has a talent. They just need to find it.
smalltalk,. Favorite Movie,What's your favorite movie?
smalltalk,. Favorite Movie,My favorite movie is Superbad.
smalltalk,. Favorite Movie,"Oh, why is that?"
smalltalk,. Favorite Movie,It's the funniest movie that I've ever seen.
smalltalk,. Favorite Movie,That's true. It is a very funny movie.
smalltalk,. Favorite Movie,You've seen it before?
smalltalk,. Favorite Movie,"Yes, I saw that movie the first day it came out in theaters."
smalltalk,. Favorite Movie,Didn't you laugh through the whole movie? I did.
smalltalk,. Favorite Movie,Me too. That movie brought tears to my eyes.
smalltalk,. Favorite Movie,Mine too.
smalltalk,. Favorite Movie,I have it on DVD at my house if you want to come over and watch it.
smalltalk,. Favorite Movie,"Sure, let's go."
smalltalk,. Favorite Movie,Which movie is your favorite to watch?
smalltalk,. Favorite Movie,"I have to say, my favorite movie is Superbad."
smalltalk,. Favorite Movie,Is that right? Why?
smalltalk,. Favorite Movie,"Honestly, it is one of the funniest movies I've seen in a long time."
smalltalk,. Favorite Movie,You're right. That movie is hilarious.
smalltalk,. Favorite Movie,I didn't think you saw that movie.
smalltalk,. Favorite Movie,I went to see it the day it came out.
smalltalk,. Favorite Movie,I was laughing through the whole movie.
smalltalk,. Favorite Movie,"I couldn't help laughing, either."
smalltalk,. Favorite Movie,Same here.
smalltalk,. Favorite Movie,I bought the movie. Would you like to come to my house and watch it?
smalltalk,. Favorite Movie,Of course.
smalltalk,. Favorite Movie,"Out of every movie that you've seen, which one is your favorite?"
smalltalk,. Favorite Movie,I'm going to have to say that Superbad is the best movie ever.
smalltalk,. Favorite Movie,"You think so, how come?"
smalltalk,. Favorite Movie,"Well, Superbad is super funny."
smalltalk,. Favorite Movie,"You're not lying, I found that movie absolutely hilarious."
smalltalk,. Favorite Movie,I didn't know that you saw Superbad before.
smalltalk,. Favorite Movie,I made sure to be in line to see it the first day it came out.
smalltalk,. Favorite Movie,I couldn't keep from laughing throughout the whole movie.
smalltalk,. Favorite Movie,I was laughing hysterically the whole time; my stomach muscles hurt afterwards.
smalltalk,. Favorite Movie,That's exactly how I felt.
smalltalk,. Favorite Movie,"I got the movie when it came out on DVD, do you want to come over?"
smalltalk,. Favorite Movie,I would love to.
smalltalk,. Favorite Music,What type of music do you like to listen to?
smalltalk,. Favorite Music,I like listening to different kinds of music.
smalltalk,. Favorite Music,"Like what, for instance?"
smalltalk,. Favorite Music,I enjoy Rock and R&B.
smalltalk,. Favorite Music,Why is that?
smalltalk,. Favorite Music,I like the different instruments that they use.
smalltalk,. Favorite Music,That's a good reason to like something.
smalltalk,. Favorite Music,"Yeah, I think so too."
smalltalk,. Favorite Music,What kind of music do you enjoy listening to?
smalltalk,. Favorite Music,I enjoy listening to all kinds of music.
smalltalk,. Favorite Music,What kind?
smalltalk,. Favorite Music,I like to listen to Rock and R&B.
smalltalk,. Favorite Music,Why do you like that type of music?
smalltalk,. Favorite Music,I like the kinds of instruments that they use.
smalltalk,. Favorite Music,I think that's an excellent reason to like something.
smalltalk,. Favorite Music,"Thanks, I feel the same way."
smalltalk,. Favorite Music,What is your favorite kind of music?
smalltalk,. Favorite Music,I listen to various types of music.
smalltalk,. Favorite Music,What genres?
smalltalk,. Favorite Music,I enjoy listening to both Rock and R&B.
smalltalk,. Favorite Music,What interests you in that type of music?
smalltalk,. Favorite Music,I enjoy the different types of instruments that they use.
smalltalk,. Favorite Music,That is a perfect reason to like a certain kind of music.
smalltalk,. Favorite Music,That's exactly what I think too.
smalltalk,. Sports,Did you go to the basketball game on Friday?
smalltalk,. Sports,"No, I couldn't make it."
smalltalk,. Sports,You missed a really good game.
smalltalk,. Sports,"Oh, really? Who won?"
smalltalk,. Sports,Our school did. They played really well.
smalltalk,. Sports,Too bad I was busy. I really wanted to go.
smalltalk,. Sports,"Yeah, you should have. It was really exciting."
smalltalk,. Sports,So what was the score?
smalltalk,. Sports,The score was 101-98.
smalltalk,. Sports,"Man, that was a really close game."
smalltalk,. Sports,That's what made it so great.
smalltalk,. Sports,I'll make sure and make it to the next one.
smalltalk,. Sports,Were you able to attend Friday night's basketball game?
smalltalk,. Sports,I was unable to make it.
smalltalk,. Sports,You should have been there. It was intense.
smalltalk,. Sports,Is that right. Who ended up winning?
smalltalk,. Sports,Our team was victorious.
smalltalk,. Sports,I wish I was free that night. I'm kind of mad that I didn't go.
smalltalk,. Sports,It was a great game.
smalltalk,. Sports,What was the score at the end of the game?
smalltalk,. Sports,Our team won 101-98.
smalltalk,. Sports,Sounds like it was a close game.
smalltalk,. Sports,That's the reason it was such a great game.
smalltalk,. Sports,"The next game, I will definitely be there."
smalltalk,. Sports,I was meaning to ask you if you saw the basketball game on Friday.
smalltalk,. Sports,"I wanted to go, but I couldn't."
smalltalk,. Sports,It was a great game.
smalltalk,. Sports,It's too bad that I couldn't make it. Who won?
smalltalk,. Sports,Our team played hard and won.
smalltalk,. Sports,I really wish I went to the game.
smalltalk,. Sports,It was the best game ever.
smalltalk,. Sports,So tell me the final score.
smalltalk,. Sports,"The other team lost by three points, 101-98."
smalltalk,. Sports,It must've been a close game.
smalltalk,. Sports,It really was. You should've gone.
smalltalk,. Sports,"Hopefully, I'll make it to the next one."
smalltalk,. Invitation to a Movie,What are you doing this weekend?
smalltalk,. Invitation to a Movie,I'm going to the movies with a friend. How about you?
smalltalk,. Invitation to a Movie,I'm not sure yet.
smalltalk,. Invitation to a Movie,"Well, did you want to go see a movie with me?"
smalltalk,. Invitation to a Movie,What movie are you going to see?
smalltalk,. Invitation to a Movie,I'm not sure yet. Is there something you want to see?
smalltalk,. Invitation to a Movie,There's nothing I can think of.
smalltalk,. Invitation to a Movie,"So, did you want to go?"
smalltalk,. Invitation to a Movie,"No, thanks, maybe another time."
smalltalk,. Invitation to a Movie,"Okay, sounds good."
smalltalk,. Invitation to a Movie,Do you know what you're going to do this weekend?
smalltalk,. Invitation to a Movie,I am going to see a movie with a friend of mine. What about you?
smalltalk,. Invitation to a Movie,I don't know.
smalltalk,. Invitation to a Movie,Would you like to see a movie with me and my friend?
smalltalk,. Invitation to a Movie,Do you know what movie you're going to watch?
smalltalk,. Invitation to a Movie,"I don't know, but was there a certain movie you wanted to see?"
smalltalk,. Invitation to a Movie,None that I can think of.
smalltalk,. Invitation to a Movie,"Well, would you like to go?"
smalltalk,. Invitation to a Movie,"Thank you for inviting me, but I think I'll pass."
smalltalk,. Invitation to a Movie,All right. Another time then.
smalltalk,. Invitation to a Movie,You have any ideas as to what you want to do this weekend?
smalltalk,. Invitation to a Movie,I'm going to the movie theater with my friend. What are you going to do?
smalltalk,. Invitation to a Movie,I'm not quite sure yet.
smalltalk,. Invitation to a Movie,How about you see a movie with me and my friend?
smalltalk,. Invitation to a Movie,What movie are you and your friend planning on watching?
smalltalk,. Invitation to a Movie,Not sure. Is there a movie out that catches your eye?
smalltalk,. Invitation to a Movie,No good movies come to mind.
smalltalk,. Invitation to a Movie,Have you decided whether or not you would like to go?
smalltalk,. Invitation to a Movie,"No, thanks. Maybe another time."
smalltalk,. Invitation to a Movie,For sure another day.
smalltalk,. A Sick Classmate,Did you go to school today?
smalltalk,. A Sick Classmate,"Yeah, I went to school today. Were you there?"
smalltalk,. A Sick Classmate,"No, I didn't go, I've been sick."
smalltalk,. A Sick Classmate,That sucks. Did you want the assignments from English class?
smalltalk,. A Sick Classmate,"That would be nice, thank you."
smalltalk,. A Sick Classmate,"No problem, you're welcome."
smalltalk,. A Sick Classmate,I will be glad to do the same for you when you're sick.
smalltalk,. A Sick Classmate,"Well, thank you. I hope to see you at school tomorrow."
smalltalk,. A Sick Classmate,Have you attended school today?
smalltalk,. A Sick Classmate,I attended school today. Did you?
smalltalk,. A Sick Classmate,I wasn't able to attend school because I was feeling ill.
smalltalk,. A Sick Classmate,I'm sorry to hear that. Would you like the assignments from English class?
smalltalk,. A Sick Classmate,"I would really appreciate that, thanks."
smalltalk,. A Sick Classmate,It's no trouble at all.
smalltalk,. A Sick Classmate,"If you get sick, I'll return the favor."
